name,last_name,type_document_id,document_id,email,phone,student_state,headquarter_name,amount_1_1,amount_1_10,amount_1_2,amount_1_3,amount_1_4,amount_1_5,amount_1_6,amount_1_7,amount_1_8,amount_1_9,amount_2_1,amount_2_10,amount_2_2,amount_2_3,amount_2_4,amount_2_5,amount_2_6,amount_2_7,amount_2_8,amount_2_9,amount_3_1,amount_3_10,amount_3_2,amount_3_3,amount_3_4,amount_3_5,amount_3_6,amount_3_7,amount_3_8,amount_3_9,concept_1_1,concept_1_10,concept_1_2,concept_1_3,concept_1_4,concept_1_5,concept_1_6,concept_1_7,concept_1_8,concept_1_9,concept_2_1,concept_2_10,concept_2_2,concept_2_3,concept_2_4,concept_2_5,concept_2_6,concept_2_7,concept_2_8,concept_2_9,concept_3_1,concept_3_10,concept_3_2,concept_3_3,concept_3_4,concept_3_5,concept_3_6,concept_3_7,concept_3_8,concept_3_9,payment_method_1_1,payment_method_1_10,payment_method_1_2,payment_method_1_3,payment_method_1_4,payment_method_1_5,payment_method_1_6,payment_method_1_7,payment_method_1_8,payment_method_1_9,payment_method_2_1,payment_method_2_10,payment_method_2_2,payment_method_2_3,payment_method_2_4,payment_method_2_5,payment_method_2_6,payment_method_2_7,payment_method_2_8,payment_method_2_9,payment_method_3_1,payment_method_3_10,payment_method_3_2,payment_method_3_3,payment_method_3_4,payment_method_3_5,payment_method_3_6,payment_method_3_7,payment_method_3_8,payment_method_3_9,receipt_number_1_1,receipt_number_1_10,receipt_number_1_2,receipt_number_1_3,receipt_number_1_4,receipt_number_1_5,receipt_number_1_6,receipt_number_1_7,receipt_number_1_8,receipt_number_1_9,receipt_number_2_1,receipt_number_2_10,receipt_number_2_2,receipt_number_2_3,receipt_number_2_4,receipt_number_2_5,receipt_number_2_6,receipt_number_2_7,receipt_number_2_8,receipt_number_2_9,receipt_number_3_1,receipt_number_3_10,receipt_number_3_2,receipt_number_3_3,receipt_number_3_4,receipt_number_3_5,receipt_number_3_6,receipt_number_3_7,receipt_number_3_8,receipt_number_3_9,state_1,state_2,state_3
Natanael,Amorós,RC,26297533,juliangaspar@example.net,+57 340 723 4920,inactive,Sede Chapinero,127968.37,178063.55,143558.57,205828.29,142002.67,165293.79,270439.6,154837.59,72643.92,109363.2,202943.89,64746.62,146326.82,254468.23,61932.4,197069.65,274709.46,81306.37,112769.47,61727.67,208565.06,124398.35,94838.14,163826.26,261217.21,69246.11,208077.48,52600.27,292347.58,244302.38,Material deportivo,Recargo por mora,Torneo interno,Recargo por mora,Uniforme,Material deportivo,Descuento hermanos,Recargo por mora,Mensualidad,Mensualidad,Pago anticipado,Cuota adicional,Mensualidad,Mensualidad,Torneo interno,Pago anticipado,Torneo interno,Descuento hermanos,Matrícula,Material deportivo,Descuento hermanos,Torneo interno,Torneo interno,Recargo por mora,Pago anticipado,Campamento,Campamento,Torneo interno,Campamento,Torneo interno,Efectivo,Daviplata,PSE,Efectivo,Tarjeta,Nequi,Nequi,Daviplata,Transferencia,Nequi,Nequi,Daviplata,Efectivo,Daviplata,Efectivo,Efectivo,Daviplata,PSE,PSE,Nequi,Tarjeta,PSE,Daviplata,Transferencia,Efectivo,Efectivo,PSE,PSE,Transferencia,Tarjeta,REC-754348,REC-380935,REC-662372,REC-790055,REC-569484,REC-455471,REC-784360,REC-749723,REC-803489,REC-224439,REC-139451,REC-173745,REC-483281,REC-728574,REC-526060,REC-665627,REC-256249,REC-384046,REC-237344,REC-602258,REC-970781,REC-544214,REC-281756,REC-659696,REC-402324,REC-352855,REC-379182,REC-176378,REC-936328,REC-751353,expired,active,active
Marcos,Goñi,CC,31585546,amadoferrando@example.com,+57 344 607 5722,active,Sede Albacete,206152.99,293627.8,107276.02,88648.21,113481.5,261909.55,232818.52,233705.7,251494.3,177114.76,164345.93,199756.19,261020.76,132553.07,203861.28,201000.17,65941.71,152269.99,178925.97,134069.56,,,,,,,,,,,Material deportivo,Matrícula,Campamento,Campamento,Material deportivo,Uniforme,Campamento,Descuento hermanos,Torneo interno,Mensualidad,Torneo interno,Recargo por mora,Torneo interno,Matrícula,Uniforme,Descuento hermanos,Material deportivo,Uniforme,Uniforme,Descuento hermanos,,,,,,,,,,,Tarjeta,Efectivo,Nequi,Efectivo,Nequi,Nequi,Transferencia,Daviplata,Nequi,PSE,PSE,PSE,Daviplata,Nequi,Daviplata,Transferencia,Nequi,Daviplata,Nequi,PSE,,,,,,,,,,,REC-988143,REC-262539,REC-711047,REC-538918,REC-896873,REC-945026,REC-466346,REC-389287,REC-527147,REC-206130,REC-298156,REC-289095,REC-231459,REC-586986,REC-743517,REC-524530,REC-998127,REC-219733,REC-446166,REC-351967,,,,,,,,,,,expired,active,
Jose Carlos,Suárez,CE,31687165,gfalcon@example.org,3448069789,active,Sede Navarra,201311.17,166519.79,185775.35,206094.58,145127.55,253337.33,190971.51,247623.4,264958.99,281149.86,,,,,,,,,,,,,,,,,,,,,Uniforme,Uniforme,Mensualidad,Pago anticipado,Matrícula,Matrícula,Mensualidad,Uniforme,Recargo por mora,Campamento,,,,,,,,,,,,,,,,,,,,,Transferencia,Nequi,Transferencia,Nequi,Daviplata,Transferencia,Nequi,PSE,Efectivo,Nequi,,,,,,,,,,,,,,,,,,,,,REC-878001,REC-519835,REC-959913,REC-623753,REC-174395,REC-372806,REC-949027,REC-170325,REC-182869,REC-428940,,,,,,,,,,,,,,,,,,,,,active,,
Alicia,García,RC,33357554,kbarral@example.com,03006098175,active,Sede Navarra,110826.95,169838.34,184883.71,236743.95,96447.44,271316.94,145708.66,246998.03,212618.4,219894.97,,,,,,,,,,,,,,,,,,,,,Recargo por mora,Material deportivo,Material deportivo,Recargo por mora,Matrícula,Uniforme,Descuento hermanos,Campamento,Matrícula,Pago anticipado,,,,,,,,,,,,,,,,,,,,,Transferencia,Tarjeta,Efectivo,Transferencia,Tarjeta,Nequi,Tarjeta,Tarjeta,Nequi,Nequi,,,,,,,,,,,,,,,,,,,,,REC-732340,REC-131795,REC-522243,REC-431892,REC-941587,REC-381554,REC-867508,REC-208595,REC-122774,REC-649299,,,,,,,,,,,,,,,,,,,,,expired,,
Teodosio,Salmerón,CE,33420607,martaboada@example.com,(311) 5452128,active,Sede Ourense,80636.05,90739.18,164529.79,188886.8,52994.0,115474.33,158770.73,261313.85,262120.55,151743.08,150103.52,88929.52,295382.92,66722.38,298750.99,144809.71,156544.63,185317.35,132064.44,211863.28,,,,,,,,,,,Cuota adicional,Uniforme,Torneo interno,Descuento hermanos,Pago anticipado,Descuento hermanos,Torneo interno,Torneo interno,Recargo por mora,Mensualidad,Material deportivo,Mensualidad,Torneo interno,Matrícula,Matrícula,Torneo interno,Campamento,Matrícula,Matrícula,Matrícula,,,,,,,,,,,Efectivo,Transferencia,Transferencia,Transferencia,Efectivo,Nequi,PSE,Nequi,Daviplata,Daviplata,Nequi,Efectivo,PSE,Transferencia,Nequi,Tarjeta,Efectivo,Transferencia,Nequi,Tarjeta,,,,,,,,,,,REC-788236,REC-225099,REC-705457,REC-565146,REC-747479,REC-871889,REC-552854,REC-835143,REC-776339,REC-129560,REC-933400,REC-153360,REC-433831,REC-257192,REC-214348,REC-528635,REC-620292,REC-120174,REC-837358,REC-271030,,,,,,,,,,,active,active,
Dionisio,Huguet,CC,34941004,bernardoneira@example.org,3225069660,active,Sede Centro,82148.87,88152.17,153635.48,194255.6,86967.3,292947.21,129893.65,205477.02,252931.15,121689.06,291583.42,83142.42,249662.44,131441.68,133419.26,256952.0,156865.9,62726.53,117487.24,81565.33,,,,,,,,,,,Mensualidad,Matrícula,Recargo por mora,Cuota adicional,Mensualidad,Matrícula,Campamento,Mensualidad,Recargo por mora,Torneo interno,Torneo interno,Cuota adicional,Campamento,Matrícula,Pago anticipado,Mensualidad,Descuento hermanos,Pago anticipado,Descuento hermanos,Descuento hermanos,,,,,,,,,,,PSE,Nequi,Daviplata,Efectivo,Efectivo,Nequi,Tarjeta,PSE,Daviplata,Tarjeta,Transferencia,Transferencia,Transferencia,Tarjeta,Efectivo,Nequi,Nequi,Nequi,Daviplata,Transferencia,,,,,,,,,,,REC-370379,REC-300903,REC-673747,REC-298384,REC-370349,REC-294971,REC-425892,REC-790953,REC-483984,REC-525027,REC-600167,REC-225200,REC-263145,REC-769733,REC-678475,REC-627059,REC-504728,REC-533920,REC-315104,REC-766167,,,,,,,,,,,active,expired,
José Manuel,Arregui,CE,35320492,habellan@example.net,03147891662,active,Sede Ourense,299052.41,55871.33,226430.5,66576.13,76940.21,198149.61,59638.66,251308.13,90624.94,228223.14,,,,,,,,,,,,,,,,,,,,,Torneo interno,Campamento,Matrícula,Cuota adicional,Uniforme,Uniforme,Mensualidad,Torneo interno,Campamento,Torneo interno,,,,,,,,,,,,,,,,,,,,,Daviplata,Daviplata,Daviplata,Tarjeta,Daviplata,Efectivo,Daviplata,Tarjeta,Nequi,PSE,,,,,,,,,,,,,,,,,,,,,REC-392238,REC-991458,REC-111759,REC-136126,REC-318069,REC-858769,REC-533354,REC-743049,REC-139115,REC-978794,,,,,,,,,,,,,,,,,,,,,active,,
Abraham,Múgica,TI,35708194,febejuarez@example.org,+57 330 383 9595,active,Sede Ourense,104804.59,285599.98,55816.86,279464.7,285910.44,232081.81,78694.5,74374.88,127330.4,240836.32,114009.16,162300.79,177073.62,292466.39,115653.24,186604.0,232429.83,203086.47,295083.94,144978.37,,,,,,,,,,,Recargo por mora,Uniforme,Campamento,Torneo interno,Torneo interno,Matrícula,Matrícula,Campamento,Uniforme,Pago anticipado,Uniforme,Uniforme,Uniforme,Material deportivo,Cuota adicional,Campamento,Uniforme,Torneo interno,Recargo por mora,Matrícula,,,,,,,,,,,Nequi,Nequi,Daviplata,PSE,Nequi,Tarjeta,Daviplata,Nequi,Nequi,Nequi,Efectivo,Tarjeta,Tarjeta,Nequi,Efectivo,Nequi,PSE,Daviplata,PSE,PSE,,,,,,,,,,,REC-200555,REC-795640,REC-529086,REC-341464,REC-266674,REC-635666,REC-359973,REC-461044,REC-590208,REC-138721,REC-609635,REC-311717,REC-682698,REC-115628,REC-962122,REC-491422,REC-883841,REC-958538,REC-409583,REC-342272,,,,,,,,,,,expired,active,
Prudencia,Vera,RC,38427073,ezequielpereira@example.org,03456229731,active,Sede Navarra,280310.15,248576.7,205473.51,199704.57,106022.98,292154.58,138605.71,205905.42,122675.43,86042.0,172946.61,86286.83,215185.49,53188.53,154585.62,227441.43,285102.97,207296.97,83807.8,126252.53,295995.21,252799.64,223245.93,187980.83,298058.25,183527.44,137486.1,147342.8,211295.11,100896.41,Recargo por mora,Descuento hermanos,Uniforme,Torneo interno,Cuota adicional,Cuota adicional,Recargo por mora,Cuota adicional,Cuota adicional,Torneo interno,Descuento hermanos,Uniforme,Cuota adicional,Torneo interno,Cuota adicional,Torneo interno,Campamento,Pago anticipado,Cuota adicional,Campamento,Torneo interno,Matrícula,Cuota adicional,Uniforme,Matrícula,Torneo interno,Uniforme,Cuota adicional,Cuota adicional,Material deportivo,Transferencia,Tarjeta,Daviplata,Tarjeta,Nequi,Transferencia,Daviplata,Efectivo,Efectivo,Nequi,Transferencia,Daviplata,Efectivo,Tarjeta,PSE,Nequi,Transferencia,Efectivo,PSE,Tarjeta,Transferencia,PSE,Daviplata,Efectivo,Transferencia,Daviplata,Nequi,Transferencia,Daviplata,Tarjeta,REC-899444,REC-988164,REC-376257,REC-706837,REC-881280,REC-225811,REC-321335,REC-625661,REC-468794,REC-690913,REC-200888,REC-547248,REC-879094,REC-451929,REC-615882,REC-143206,REC-776307,REC-739841,REC-722333,REC-545356,REC-560960,REC-416323,REC-393547,REC-890781,REC-344014,REC-602187,REC-789739,REC-551599,REC-172895,REC-411508,cancelled,active,active
Héctor,Sanz,CE,39738898,nicolas64@example.com,03402913049,active,Sede Centro,186788.89,122828.04,108423.94,147555.1,122798.79,296017.32,178240.95,173266.93,272713.51,144719.09,78488.59,282887.88,121753.2,65132.48,286785.63,141455.62,63435.79,95184.94,229872.11,287975.44,,,,,,,,,,,Recargo por mora,Pago anticipado,Torneo interno,Uniforme,Mensualidad,Descuento hermanos,Uniforme,Descuento hermanos,Mensualidad,Torneo interno,Recargo por mora,Mensualidad,Mensualidad,Uniforme,Campamento,Uniforme,Material deportivo,Material deportivo,Pago anticipado,Recargo por mora,,,,,,,,,,,Transferencia,Efectivo,Transferencia,PSE,Efectivo,Nequi,Nequi,Transferencia,PSE,Nequi,Nequi,Tarjeta,Tarjeta,Efectivo,Efectivo,Daviplata,Daviplata,Daviplata,Nequi,Transferencia,,,,,,,,,,,REC-321762,REC-763031,REC-230553,REC-117161,REC-554412,REC-825260,REC-488062,REC-590866,REC-363544,REC-390189,REC-556770,REC-380718,REC-952334,REC-788025,REC-448388,REC-498870,REC-429784,REC-401656,REC-861835,REC-828089,,,,,,,,,,,expired,active,
Jeremías,Giménez,CE,42035886,beldalaura@example.net,3039331548,active,Sede Albacete,99329.09,154694.1,259900.48,280153.96,206915.52,188556.03,263944.35,262988.38,151184.95,71796.06,117116.98,295526.75,222960.19,139334.96,209084.14,116757.11,294012.33,188069.49,168549.1,289455.19,287181.41,95595.59,161529.47,269399.13,93145.21,169197.14,161225.16,156810.25,215002.33,292036.11,Pago anticipado,Mensualidad,Uniforme,Mensualidad,Campamento,Uniforme,Torneo interno,Cuota adicional,Material deportivo,Cuota adicional,Recargo por mora,Mensualidad,Cuota adicional,Material deportivo,Descuento hermanos,Descuento hermanos,Recargo por mora,Uniforme,Torneo interno,Recargo por mora,Uniforme,Descuento hermanos,Torneo interno,Pago anticipado,Matrícula,Recargo por mora,Mensualidad,Descuento hermanos,Campamento,Uniforme,Efectivo,Tarjeta,Efectivo,Daviplata,PSE,PSE,PSE,Tarjeta,Tarjeta,Tarjeta,Tarjeta,Daviplata,PSE,PSE,Daviplata,PSE,Tarjeta,PSE,Nequi,Efectivo,PSE,Transferencia,PSE,Efectivo,Daviplata,Daviplata,Transferencia,Nequi,Efectivo,Efectivo,REC-891095,REC-158587,REC-875500,REC-666380,REC-987156,REC-648421,REC-937958,REC-396856,REC-751856,REC-884107,REC-929259,REC-941666,REC-529078,REC-362336,REC-165186,REC-413943,REC-836904,REC-415439,REC-242791,REC-751297,REC-910029,REC-929511,REC-537582,REC-491836,REC-981229,REC-804146,REC-121283,REC-152803,REC-813611,REC-986836,active,expired,active
